t,q,qdot,qddot
1.48,3.96,1.99964,0.0355556
1.49,3.98,1.99991,0.0177778
1.5,4,2,-1.77636e-15
1.51,4.02,1.99991,-0.0177778
1.52,4.04,1.99964,-0.0355556
1.53,4.05999,1.9992,-0.0533333
1.54,4.07998,1.99858,-0.0711111
1.55,4.09996,1.99778,-0.0888889
1.56,4.11994,1.9968,-0.106667
1.57,4.1399,1.99564,-0.124444
1.58,4.15985,1.99431,-0.142222
1.59,4.17978,1.9928,-0.16
1.6,4.1997,1.99111,-0.177778
1.61,4.21961,1.98924,-0.195556
1.62,4.23949,1.9872,-0.213333
1.63,4.25935,1.98498,-0.231111
1.64,4.27919,1.98258,-0.248889
1.65,4.299,1.98,-0.266667
1.66,4.31879,1.97724,-0.284444
1.67,4.33854,1.97431,-0.302222
1.68,4.35827,1.9712,-0.32
1.69,4.37797,1.96791,-0.337778
1.7,4.39763,1.96444,-0.355556
1.71,4.41726,1.9608,-0.373333
1.72,4.43685,1.95698,-0.391111
1.73,4.45639,1.95298,-0.408889
1.74,4.4759,1.9488,-0.426667
1.75,4.49537,1.94444,-0.444444
1.76,4.51479,1.93991,-0.462222
1.77,4.53417,1.9352,-0.48
1.78,4.5535,1.93031,-0.497778
1.79,4.57277,1.92524,-0.515556
1.8,4.592,1.92,-0.533333
1.81,4.61117,1.91458,-0.551111
1.82,4.63029,1.90898,-0.568889
1.83,4.64935,1.9032,-0.586667
1.84,4.66835,1.89724,-0.604444
1.85,4.6873,1.89111,-0.622222
1.86,4.70618,1.8848,-0.64
1.87,4.72499,1.87831,-0.657778
1.88,4.74374,1.87164,-0.675556
1.89,4.76242,1.8648,-0.693333
1.9,4.78104,1.85778,-0.711111
1.91,4.79958,1.85058,-0.728889
1.92,4.81805,1.8432,-0.746667
1.93,4.83644,1.83564,-0.764444
1.94,4.85476,1.82791,-0.782222
1.95,4.873,1.82,-0.8
1.96,4.89116,1.81191,-0.817778
1.97,4.90924,1.80364,-0.835556
1.98,4.92723,1.7952,-0.853333
1.99,4.94514,1.78658,-0.871111
2,4.96296,1.77778,-0.888889
2.01,4.9807,1.7688,-0.906667
2.02,4.99834,1.75964,-0.924444
2.03,5.01589,1.75031,-0.942222
2.04,5.03334,1.7408,-0.96
2.05,5.0507,1.73111,-0.977778
2.06,5.06797,1.72124,-0.995556
2.07,5.08513,1.7112,-1.01333
2.08,5.10219,1.70098,-1.03111
